,date,text,compound,positive,negative,neutral
39,2021-08-23,"PayPal has announced that people in the United Kingdom can buy, hold, and sell cryptocurrencies through PayPal starting this week. It said the service is still rolling out to people’s accounts but th… [+2048 chars]",0.2263,0.053,0.0,0.947
40,2021-09-02,"Bitcoin, Ethereum, Cardano, Filecoin, Litecoin, Orchid, Algorand, and Bitcoin Cash are eight cryptocurrencies now available for purchase directly from a FDIC-insured checking account if you are a cus… [+10792 chars]",0.0,0.0,0.0,1.0
41,2021-09-10,"the abbreviation word etf - Exchange Traded Fund
getty
Grayscale Investments, the worlds largest digital asset manager with nearly $50 billion in AUM revealed exclusively to Forbes that three of it… [+6437 chars]",0.3612,0.075,0.0,0.925
42,2021-09-13,"Scientists say most people wont need booster shots. Chinas economy may be headed for another slowdown. Walmart denied agreeing to partner with Litecoin. Heres what you need to know this morning.
Cov… [+5346 chars]",-0.128,0.064,0.078,0.858
43,2021-09-14,Litecoin Core Portable has been released. It's a peer-to-peer cryptocurrency complimentary to Bitcoin. It's packaged in PortableApps.com Format so it can easily integrate with the PortableApps.com Pl… [+1832 chars],0.6771,0.176,0.0,0.824
44,2021-08-28,"Many brands are starting to see a recovery despite the challenges initially brought on by the pandemic. Some businesses, especially ones that focused efforts on expanding e-commerce ventures, have ev… [+2778 chars]",0.3903,0.087,0.037,0.877
45,2021-09-13,Was this the PR hoax of the decade? Reporters and crypto traders are both a little red-faced today after running with the supposed news that Walmart would begin accepting litecoin as a new form of pa… [+2429 chars],0.128,0.067,0.054,0.879
46,2021-08-18,"Cryptocurrency markets are having a down day. 
getty
Digital currencies are mostly in the red today, with many recording losses lately as traders take profits. 
At the time of this writing, bitcoi… [+2257 chars]",0.0516,0.079,0.074,0.847
47,2021-09-13,"A news release published on Monday morning claiming that Walmart would begin accepting payments in Litecoin, a digital currency, drove up its price by 30 percent before the retail giant said that the… [+722 chars]",0.3818,0.075,0.0,0.925
48,2021-09-01,"After their spring plunge and summer rebound, cryptocurrencies like Bitcoin and Ethereum have been in a holding pattern for the past few weeks as investors try to decipher their next big move. Intere… [+2047 chars]",0.3612,0.07,0.0,0.93
49,2021-09-13,"Walmart and crypto investors were hit with fake news on Monday. 
A press release, distributed by GlobeNewswire, touted the retail giant's alledged new payment option with Litecoin that turned out to… [+932 chars]",-0.5106,0.0,0.125,0.875
50,2021-09-07,"Bitcoin fell more than 15% in roughly an hour today. - bitcoin cryptocurrency, realistic 3d ... [+] illustration
getty
Bitcoin prices suffered a flash crash this morning, falling to their lowest in… [+2181 chars]",-0.8442,0.0,0.265,0.735
51,2021-09-14,"Litecoin enjoyed compelling gains, but they were short-lived. (Photo by S3studio/Getty Images)
Getty Images
Litecoin prices experienced a sharp rally earlier today, climbing more than 30% after mar… [+4209 chars]",0.5106,0.169,0.0,0.831
52,2021-08-24,"Mumbai: Indians are flocking back to invest in cryptocurrencies as Bitcoin hit a three-month high of $50,000 on Sunday amidst the global crypto rush.
On Monday and Tuesday, Indian crypto exchanges a… [+3493 chars]",0.0,0.0,0.0,1.0
53,2021-09-13,"Walmart (WMT) on Monday said a press release announcing a partnership with the cryptocurrency Litecoin was fake, sending the price of Litecoin lower after initially launching it higher earlier in the… [+3838 chars]",-0.6486,0.0,0.155,0.845
54,2021-08-23,"Cryptocurrency is a kind of digital money that is designed to be secure and, in many cases, anonymous. It can be bought and sold using the hundreds of online exchanges that are available to investors… [+5550 chars]",0.34,0.064,0.0,0.936
55,2021-09-10,"Cryptocurrency is a kind of digital money that is designed to be secure and, in many cases, anonymous. It can be bought and sold using the hundreds of online exchanges that are available to investors… [+5550 chars]",0.34,0.064,0.0,0.936
56,2021-09-14,"It's always better to be smart than ignorant, but sometimes you need to plain lucky. Let's say an investor, Claudia, had an emergency fund handy during the height of the pandemic last April and had t… [+4633 chars]",0.3716,0.165,0.109,0.726
57,2021-08-23,Something to look forward to: Today PayPal announced that it would let customers in the United Kingdom buy and sell cryptocurrencies this week. The service will support four kinds of cryptocurrencies… [+1448 chars],0.6705,0.151,0.0,0.849
