Date,Ticker,Close
12-16-2015,BTC,453.91
12-17-2015,BTC,456.47
12-18-2015,BTC,463.82
12-19-2015,BTC,462.05
12-20-2015,BTC,441.13
12-21-2015,BTC,437.81
12-22-2015,BTC,436.24
12-23-2015,BTC,442.82
12-24-2015,BTC,454.91
12-25-2015,BTC,455.74
12-26-2015,BTC,417.09
12-27-2015,BTC,423.92
12-28-2015,BTC,420.71
12-29-2015,BTC,432.15
12-30-2015,BTC,426.81
12-31-2015,BTC,431.14
01-01-2016,BTC,434.43
01-02-2016,BTC,434.33
01-03-2016,BTC,430.2
01-04-2016,BTC,433.53
01-05-2016,BTC,432.12
01-06-2016,BTC,431.34
01-07-2016,BTC,456.43
01-08-2016,BTC,454.7
01-09-2016,BTC,448.71
01-10-2016,BTC,447.21
01-11-2016,BTC,448.35
01-12-2016,BTC,445.79
01-13-2016,BTC,432.12
01-14-2016,BTC,429.24
01-15-2016,BTC,365.91
01-16-2016,BTC,384.81
01-17-2016,BTC,386.36
01-18-2016,BTC,385.13
01-19-2016,BTC,379.02
01-20-2016,BTC,418.85
01-21-2016,BTC,407.82
01-22-2016,BTC,377.21
01-23-2016,BTC,389.64
01-24-2016,BTC,403.06
01-25-2016,BTC,392.33
01-26-2016,BTC,392.46
01-27-2016,BTC,394.49
01-28-2016,BTC,379.55
01-29-2016,BTC,378.91
01-30-2016,BTC,376.92
01-31-2016,BTC,364.35
02-01-2016,BTC,371.04
02-02-2016,BTC,372.87
02-03-2016,BTC,368.12
02-04-2016,BTC,388.38
02-05-2016,BTC,385.73
02-06-2016,BTC,374.9
02-07-2016,BTC,375.52
02-08-2016,BTC,371.14
02-09-2016,BTC,373.91
02-10-2016,BTC,379.83
02-11-2016,BTC,377.06
02-12-2016,BTC,382.72
02-13-2016,BTC,390.42
02-14-2016,BTC,404.14
02-15-2016,BTC,399.38
02-16-2016,BTC,407.01
02-17-2016,BTC,416.85
02-18-2016,BTC,421.42
02-19-2016,BTC,419.38
02-20-2016,BTC,441.12
02-21-2016,BTC,438.65
02-22-2016,BTC,437.8
02-23-2016,BTC,420.3
02-24-2016,BTC,423.19
02-25-2016,BTC,423.14
02-26-2016,BTC,427.03
02-27-2016,BTC,432.14
02-28-2016,BTC,432.8
02-29-2016,BTC,436.92
03-01-2016,BTC,431.37
03-02-2016,BTC,424.48
03-03-2016,BTC,420.17
03-04-2016,BTC,409.41
03-05-2016,BTC,397.24
03-06-2016,BTC,404.91
03-07-2016,BTC,413.74
03-08-2016,BTC,411.88
03-09-2016,BTC,412.32
03-10-2016,BTC,416.29
03-11-2016,BTC,419.3
03-12-2016,BTC,410.8
03-13-2016,BTC,412.49
03-14-2016,BTC,414.58
03-15-2016,BTC,415.64
03-16-2016,BTC,416.54
03-17-2016,BTC,418.4
03-18-2016,BTC,408.28
03-19-2016,BTC,406.74
03-20-2016,BTC,411.88
03-21-2016,BTC,411.09
03-22-2016,BTC,416.36
03-23-2016,BTC,418.08
03-24-2016,BTC,414.88
03-25-2016,BTC,415.74
03-26-2016,BTC,416.71
03-27-2016,BTC,425.35
03-28-2016,BTC,422.76
03-29-2016,BTC,415.55
03-30-2016,BTC,412.6
03-31-2016,BTC,415.37
04-01-2016,BTC,416.75
04-02-2016,BTC,419.67
04-03-2016,BTC,418.19
04-04-2016,BTC,419.44
04-05-2016,BTC,422.65
04-06-2016,BTC,421.66
04-07-2016,BTC,421.08
04-08-2016,BTC,418.47
04-09-2016,BTC,416.14
04-10-2016,BTC,421.13
04-11-2016,BTC,422.58
04-12-2016,BTC,426.18
04-13-2016,BTC,424.27
04-14-2016,BTC,424.93
04-15-2016,BTC,429.97
04-16-2016,BTC,430.94
04-17-2016,BTC,428.03
04-18-2016,BTC,428.51
04-19-2016,BTC,436.37
04-20-2016,BTC,441.92
04-21-2016,BTC,451.08
04-22-2016,BTC,447.49
04-23-2016,BTC,451.82
04-24-2016,BTC,459.92
04-25-2016,BTC,460.47
04-26-2016,BTC,467.86
04-27-2016,BTC,444.79
04-28-2016,BTC,449.38
04-29-2016,BTC,456.57
04-30-2016,BTC,447.9
05-01-2016,BTC,452.59
05-02-2016,BTC,444.49
05-03-2016,BTC,450.3
05-04-2016,BTC,447.12
05-05-2016,BTC,448.92
05-06-2016,BTC,461.62
05-07-2016,BTC,459.25
05-08-2016,BTC,459.28
05-09-2016,BTC,461.75
05-10-2016,BTC,450.33
05-11-2016,BTC,452.18
05-12-2016,BTC,454.73
05-13-2016,BTC,456.01
05-14-2016,BTC,455.5
05-15-2016,BTC,457.84
05-16-2016,BTC,454.89
05-17-2016,BTC,452.42
05-18-2016,BTC,453.37
05-19-2016,BTC,440.54
05-20-2016,BTC,441.89
05-21-2016,BTC,443.15
05-22-2016,BTC,438.68
05-23-2016,BTC,443.18
05-24-2016,BTC,445.77
05-25-2016,BTC,449.05
05-26-2016,BTC,453.73
05-27-2016,BTC,473.86
05-28-2016,BTC,528.54
05-29-2016,BTC,524.62
05-30-2016,BTC,534.22
05-31-2016,BTC,531.41
06-01-2016,BTC,539.17
06-02-2016,BTC,538.83
06-03-2016,BTC,570.44
06-04-2016,BTC,573.53
06-05-2016,BTC,574.48
06-06-2016,BTC,585.56
